id,pmid,title,journal,year,type,impact,authors,doi,abstract,created_at,updated_at,visible,display_order,photo_url
94991818-a65b-4955-8297-74f5f24e9492,41106089,Parkinson's disease mild cognitive impairment with MRI evidence of cholinergic nucleus 4 degeneration: A new subtype?,Parkinsonism & related disorders,2025,Research Article,Medium Impact,"Negida A, Vohra H, Lageman S, Mukhopadhyay N, Berman B, et al.",10.1016/j.parkreldis.2025.108072,"Subtyping Parkinson's disease with mild cognitive impairment (PD-MCI) into clinically and pathologically homogeneous groups could improve clinical trials and enable personalized treatments. Cholinergic nucleus 4 (Ch4) degeneration has been linked to cognitive decline in PD, suggesting a distinct PD-MCI subtype with worse prognosis.",2025-10-19 00:02:31.554459+00,2025-10-20 15:40:27.908674+00,t,0,https://dqzaibcefjcxrldrggwh.supabase.co/storage/v1/object/public/publication-photos/94991818-a65b-4955-8297-74f5f24e9492.png
f7c00483-fd86-47f7-8eaf-6a56e9e32e98,35864615,Microsurgery versus stereotactic radiosurgery for small petroclival meningiomas presenting with intractable trigeminal neuropathy: A historical cohort study.,Neurology India,2022,Research Article,Medium Impact,"Hegazy A, Al-Shami H, Arundhati B, Negida A, A Hafez R, et al.",10.4103/0028-3886.349681,Data on the outcomes of microsurgical resection (SR) and stereotactic gamma knife radiosurgery (GKRS) in patients with trigeminal neuralgia associated with small petrous apex meningiomas are scarce.,2025-10-19 00:02:37.23684+00,2025-10-20 00:52:04.253269+00,f,0,
dc7d4900-ba75-4ee9-87d1-d1fd5c1eaa5b,35744029,"Comment on Abbas et al. The Safety and Efficacy of Nusinersen in the Treatment of Spinal Muscular Atrophy: A Systematic Review and Meta-Analysis of Randomized Controlled Trials. Medicina 2022, 58, 213.","Medicina (Kaunas, Lithuania)",2022,Research Article,Medium Impact,"Aljabali A, Abdo M, Negida A",10.3390/medicina58060766,We read with interest the article by Abbas et al. [...].,2025-10-19 00:02:37.359357+00,2025-10-20 00:52:04.375289+00,f,0,
f792bc62-40e8-4bdd-aad5-50a9b7de3403,35609725,Neurosurgery Research Output in Ethiopia: A Scoping Review.,World neurosurgery,2022,Research Article,Medium Impact,"Abdi H, Wang Z, Ham E, Laeke T, Park K, et al.",10.1016/j.wneu.2022.05.053,"Neurosurgery-specific research plays a critical role in improving outcomes in patients with neurosurgical diseases. Despite the high burden of neurosurgical diseases in Ethiopia, little is known about types of neurosurgical research from Ethiopia. The goal of this scoping review is to assess the quantity and types of neurosurgical research published in peer-reviewed journals by authors from Ethiopia.",2025-10-19 00:02:37.609175+00,2025-10-20 00:52:04.613723+00,f,0,
ce75eaa3-e41c-4b20-a48f-573d517c24dc,39425031,Meta-analysis accelerator: a comprehensive tool for statistical data conversion in systematic reviews with meta-analysis.,BMC medical research methodology,2024,Research Article,Medium Impact,"Abbas A, Hefnawy M, Negida A",10.1186/s12874-024-02356-6,"Systematic review with meta-analysis integrates findings from multiple studies, offering robust conclusions on treatment effects and guiding evidence-based medicine. However, the process is often hampered by challenges such as inconsistent data reporting, complex calculations, and time constraints. Researchers must convert various statistical measures into a common format, which can be error-prone and labor-intensive without the right tools.",2025-10-19 00:02:33.61961+00,2025-10-20 00:51:59.984485+00,f,0,
54959811-a1ee-4779-8942-413951853d1b,38102200,Defensive medicine practices as a result of malpractice claims and workplace physical violence: a cross-sectional study from Egypt.,Scientific reports,2023,Research Article,Medium Impact,"Arafa A, Negida A, Elsheikh M, Emadeldin M, Hegazi H, et al.",10.1038/s41598-023-47720-6,"Defensive medicine refers to practices motivated mainly by legal rather than medical purposes. Increased healthcare costs, overutilization of medical services, and potential harm to patients from unnecessary procedures are among its drawbacks. We performed this study to assess the prevalence of defensive medicine practices in Egypt and their associations with experiencing malpractice claims and workplace physical violence. We investigated 1797 physicians (68.1% male), with an average age of 36.8&#x2009;&#xb1;&#x2009;9.1&#xa0;years, practicing in Egypt between January 14th and February 23rd, 2023. SPSS was used for statistical analysis. The majority reported engaging in defensive medicine practices. Specifically, 89.6% acknowledged avoiding high-risk procedures, 87.8% refrained from treating high-risk patients, 86.8% admitted to making unnecessary referrals, 84.9% acknowledged ordering unnecessary tests, 61.4% reported performing unnecessary procedures, and 56.4% disclosed prescribing unnecessary medications. Obstetricians and surgeons exhibited the highest rates of defensive medicine. Using linear regression analysis adjusted for age and sex, malpractice claims and workplace physical violence were associated with defensive medicine score (zero-100): &#x3b2;s (95% CIs)&#x2009;=&#x2009;5.05 (3.10, 6.99) and 5.60 (3.50, 7.71), respectively, (p values&#x2009;&lt;&#x2009;0.001). In conclusion, defensive medicine is deeply ingrained in the clinical routines of Egyptian physicians. Establishing a comprehensive national medical liability framework is required.",2025-10-19 00:02:34.834365+00,2025-10-20 00:52:01.403619+00,f,0,
f5e1e68a-7b41-4b6f-9c81-91356f335091,39097909,Determining the role of statins in Parkinson's disease risk reduction and disease modification: A comprehensive meta-analysis of 4 million participants' data.,CNS neuroscience &amp; therapeutics,2024,Research Article,Medium Impact,"Mady A, Nabil Y, Daoud A, Alnajjar A, Alsalloum T, et al.",10.1111/cns.14888,"Many observational studies have examined the association between statins and the incidence of Parkinson's disease (PD) in high-risk populations. On the other hand, clinical trials as well as other observational studies investigated the safety and efficacy of statins in slowing disease progression in PD patients. However, the evidence has been inconclusive in both questions. To that end, we conducted this systematic review and meta-analysis to synthesize evidence on the role of statins in decreasing the risk of PD among high-risk populations and as a possible disease-modifying agent for patients with PD.",2025-10-19 00:02:33.857842+00,2025-10-20 00:52:00.417978+00,f,0,
1b200b0e-6326-451b-96c1-fc692545fe46,38191056,The Landscape of Neurosurgical Oncology Adjunct Usage in Africa: A Scoping Review.,World neurosurgery,2024,Research Article,Medium Impact,"Adegboyega G, Jesuyajolu D, Sakaiwa N, Ogunfolaji O, Fadalla T, et al.",10.1016/j.wneu.2023.12.159,"Intraoperative neurosurgical adjuncts improve extent of resection whilst mitigating patient morbidity. The delivery of neurosurgical care via these adjuncts is the norm in high-income countries, but there is yet to be a study highlighting the usage of neurosurgical oncology adjuncts in Africa. This paper aims to provide awareness of the use of these adjuncts in Africa, reasons for limited procurement, and possible solutions to the problem.",2025-10-19 00:02:34.710147+00,2025-10-20 00:52:01.283915+00,f,0,
982ddf78-8a7b-46b5-8f12-f4de0d2d7152,39647323,Subthalamic nucleus versus globus pallidus internus deep brain stimulation in the treatment of dystonia: A systematic review and meta-analysis of safety and efficacy.,Journal of clinical neuroscience : official journal of the Neurosurgical Society of Australasia,2025,Research Article,Medium Impact,"Yousef O, Abbas A, Abdelmeseh M, Qafesha R, Nabil Y, et al.",10.1016/j.jocn.2024.110958,This systematic review and meta-analysis aimed to compare the efficacy and safety of deep brain stimulation (DBS) targeting subthalamic nucleus (STN) versus the globus pallidus internus (GPI) in the treatment of dystonia.,2025-10-19 00:02:32.847913+00,2025-10-20 00:51:59.254929+00,f,0,
308f835a-6ce5-4d6d-a0f1-b74c12ae09d8,36992160,Encephalitis following COVID-19 Vaccination: A Systematic Review.,Vaccines,2023,Research Article,Medium Impact,"Abdelhady M, Husain M, Hawas Y, Elazb M, Mansour L, et al.",10.3390/vaccines11030576,"Since the advent of global COVID-19 vaccination, several studies reported cases of encephalitis with its various subtypes following COVID-19 vaccinations. In this regard, we conducted a systematic review to investigate and characterize the clinical settings of these reported cases to aid in physician awareness and proper care provision.",2025-10-19 00:02:35.689006+00,2025-10-20 00:52:02.241932+00,f,0,
a350494f-953c-44ea-95d0-b88862f07572,36679851,COVID-19 Risk Perception and Adherence to Preventive Measures among Medical Students after Receiving COVID-19 Vaccination: A Multicenter Cross-Sectional Study in Egypt.,Vaccines,2022,Research Article,Medium Impact,"Hamad A, Selim R, Amer B, Diab R, Elazb M, et al.",10.3390/vaccines11010007,"This study aimed to assess the perception of COVID-19 risk and the adherence to protective measures among medical students after vaccination. We conducted a cross-sectional survey on a convenience sample of students from all the 18 governmental medical schools in Egypt. A total of 2273 students participated in the online self-administered questionnaire. Around 8 in 10 (83.2%) students were fully vaccinated, of which 17.9% received the booster dose. Only 36.9% believed that COVID-19 is serious on the individual level. The majority (73.9%) strongly or slightly agreed they may become infected after vaccination if they do not follow the preventive measures. We observed a slow decline in the perceived risk of vulnerability and susceptibility to COVID-19 infection among students in parallel to a growing perception of self-efficacy and controllability. Less than one-third (28.9%) of students showed good adherence to protective measures. However, this was lower than the previously reported adherence in the same population before vaccination. Female students, those in the first academic year, those who did not contract COVID-19 infection before, and those with a higher perception of susceptibility and perceived controllability were more likely to perform better at protective measures.",2025-10-19 00:02:36.164189+00,2025-10-20 00:52:02.743601+00,f,0,
81fb3eb1-79eb-4cce-8806-c5f3465ab053,36205810,Physical therapy interventions for the management of hand tremors in patients with Parkinson's disease: a systematic review.,Neurological sciences : official journal of the Italian Neurological Society and of the Italian Society of Clinical Neurophysiology,2023,Research Article,Medium Impact,"Shahien M, Elaraby A, Gamal M, Abdelazim E, Abdelazeem B, et al.",10.1007/s10072-022-06420-1,"Several physical therapy modalities have been used to improve hand tremors in patients with Parkinson's disease (PD). However, little is known about the efficacy of these techniques. Therefore, we conducted this study to synthesize evidence from published studies on the efficacy of physical therapy techniques for hand tremors in PD patients.",2025-10-19 00:02:36.999598+00,2025-10-20 00:52:04.018671+00,f,0,
0b7a14ba-816f-441b-b9c8-5718e91939ea,39560794,Comparative efficacy of awake and asleep motor mapping in glioma surgery: A meta-analysis of 3011 patients.,Neurosurgical review,2024,Research Article,Medium Impact,"Abo-Elnour D, Pichardo-Rojas P, Abdalla Y, Salama M, Elboraay T, et al.",10.1007/s10143-024-03080-x,"Standard of care in glioma surgery involves maximal-safe resection. Intraoperative stimulation mapping can improve the extent of resection in eloquent area tumors. Resection is performed during awake craniotomy (AC) or under general anesthesia (GA). Considering the advances in glioma management, an updated meta-analysis is needed. We identified studies evaluating surgical outcomes in adult patients undergoing glioma resection in motor areas, comparing AC and GA mapping until November 2023. Twenty-four observational studies and one randomized controlled trial met our inclusion criteria, adding 3011 patients. The mean extent of resection was 92.2% (95%CI&#x2009;=&#x2009;89.9%-94.5%) for AC and 92.5% (95%CI&#x2009;=&#x2009;89.6%-95.3%) for GA. Immediate deficit revealed a nonsignificant risk ratio (RR) of 0.96 favoring AC (95%CI&#x2009;=&#x2009;0.66-1.41, p&#x2009;=&#x2009;0.84). Similarly, long-term deficits showed a nonsignificant RR of 1.33 favoring GA (95%CI&#x2009;=&#x2009;0.91-1.95, p&#x2009;=&#x2009;0.14). Karnofsky performance score (KPS) analysis revealed a nonsignificant mean difference of 2.32 favoring GA (95%CI&#x2009;=&#x2009;-6.10-10.73, p&#x2009;=&#x2009;0.59). Intraoperative stimulation-induced seizures analysis yielded a nonsignificant RR of 0.73 (95% CI&#x2009;=&#x2009;0.27-1.97, p&#x2009;=&#x2009;0.53) favoring AC. Postoperative seizure analysis showed a significant RR of 0.64 (95% CI&#x2009;=&#x2009;0.44-0.94, p&#x2009;=&#x2009;0.02) favoring AC. This meta-analysis suggests that AC and GA are comparable approaches to maximize extent of resection and achieve safe resection in eloquent glioma surgery. These findings can offer guidance to neurosurgeons in the decision-making process.",2025-10-19 00:02:33.098367+00,2025-10-20 00:51:59.508415+00,f,0,
